Donald G. Payne,The Island at the Top of the World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madeline,Madeline,Madeline's Rescue,Madeline and the Bad Hat,Madeline and the Gypsies,Alice of Wonderland in Paris,Madeline,Madeline: Lost in Paris,My Fair Madeline,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madame Doubtfire,Mrs. Doubtfire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Norton,Bedknobs and Broomsticks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Marvelous Land of Oz,The Fairylogue and Radio-Plays,The Land of Oz,"The Land of Oz, a Sequel to the Wizard of Oz",The Wonderful Land of Oz,Journey Back to Oz,Return to Oz,Tin Man,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mary Poppins,Mary Poppins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Matilda,Matilda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley Breathed,Mars Needs Moms,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Maze Runner,The Maze Runner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Midnight and Jeremiah,So Dear to My Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Millions,Millions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Mio, My Son",Mio in the Land of Faraway,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Miss Spider,Miss Spider's Sunny Patch Kids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misty of Chincoteague,Misty,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Monkeys, Go Home!",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mortal Instruments,The Mortal Instruments: City of Bones,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mother Carey's Chickens,Mother Carey's Chickens,Summer Magic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mr. Popper's Penguins,Mr. Popper's Penguins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mrs. Frisby and the Rats of NIMH,The Secret of NIMH,The Secret of NIMH 2: Timmy to the Rescue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Friend Flicka,My Friend Flicka,"Thunderhead, Son of Flicka",Green Grass of Wyoming,Flicka,Flicka 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nancy Drew,Nancy Drew: Detective,Nancy Drew... Reporter,Nancy Drew: Trouble Shooter,Nancy Drew and the Hidden Staircase,Nancy Drew,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Neverending Story,The NeverEnding Story,The NeverEnding Story II: The Next Chapter,The NeverEnding Story III,The NeverEnding Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholas Nickleby,Nicholas Nickleby,Nicholas Nickleby,Nicholas Nickleby,Nicholas Nickleby,Nicholas Nickleby,Nicholas Nickleby,Nicholas Nickleby,The Life and Adventures of Nicholas Nickleby,Nicholas Nickleby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nico the Unicorn,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wendy Orr,Nim's Island,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Night at the Museum,Night at the Museum,Night at the Museum: Battle of the Smithsonian,Night at the Museum: Secret of the Tomb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northern Lights,The Golden Compass,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nurse Matilda,Nanny McPhee,Nanny McPhee and the Big Bang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Nutcracker and the Mouse King,Barbie in the Nutcracker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Odyssey,Ulysses,The Odyssey,Ulysses' Gaze,Greek,,The Odyssey,"O Brother, Where Art Thou?",Odysseus and the Isle of the Mists,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Old Curiosity Shop,The Old Curiosity Shop,The Old Curiosity Shop,The Old Curiosity Shop,The Old Curiosity Shop,The Old Curiosity Shop,The Old Curiosity Shop,The Old Curiosity Shop,The Old Curiosity Shop,The Old Curiosity Shop,The Old Curiosity Shop,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Yeller,Old Yeller,Savage Sam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oliver Twist,Oliver Twist,Oliver Twist,Oliver Twist,Oliver Twist,Oliver!,Oliver Twist,Oliver &amp, Company,Oliver Twist,Twist,Boy called Twist,Oliver Twist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
On Stranger Tides,Pirates of the Caribbean: On Stranger Tides,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
One Thousand and One Nights,Le Palais des Mille et une nuits,The Thief of Bagdad,The Thief of Bagdad,1001 Arabian Nights,Il fiore delle Mille ed una notte,Scooby-Doo in Arabian Nights,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ozma of Oz,Return to Oz,Ozma of Oz,Dorothy Meets Ozma of Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Patchwork Girl of Oz,The Patchwork Girl of Oz,The Patchwork Girl of Oz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Percy Jackson and  the Olympians,Percy Jackson and  the Olympians,Percy Jackson and  the Olympians: The Lightning Thief,Percy Jackson and  the Olympians: The Sea of Monsters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perri,Perri,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peter Pan,Peter Pan,Peter Pan,Return to Never Land,Peter Pan,The Lost Boys,Hook,Peter Pan,Neverland,Peter Pan,Neverland,Finding Neverland,Tinker Bell,Tinker Bell,Tinker Bell and the Lost Treasure,Tinker Bell and the Great Fairy Rescue,Pixie Hollow Games,Secret of the Wings,Neverland,,,,,,,,,,,,,,,,,,,,,,,,
Le petit Nicolas,Le Petit Nicolas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Phantom Tollbooth,The Phantom Tollbooth,The Phantom Tollbooth,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pickwick Papers,The Pickwick Papers,The Adventures of Mr. Pickwick,The Pickwick Papers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pippi Longstocking,Pippi Longstocking,Pippi Longstocking,Pippi Goes on Board,Pippi in the South Seas,Pippi on the Run,Peppi Dlinnyychulok,The New Adventures of Pippi Longstocking,Pippi Longstocking,Pippi Longstocking,Det Brune Punktum: Helbredelsen,Pippi Examples,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Pirates! In an Adventure with Scientists,The Pirates! In an Adventure with Scientists!,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Polar Express,The Polar Express,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pollyanna,Pollyanna,Pollyanna,Pollyanna,The Adventures of Pollyanna,Polly,Polly: Comin' Home!,Pollyanna,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Practical Magic,Practical Magic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Princess and the Goblin,The Princess and the Goblin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Princess Diaries,The Princess Diaries,The Princess Diaries,The Princess Diaries 2: Royal Engagement,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Punk Farm,Punk Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramona,Ramona and Beezus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rascal: A Memoir of a Better Era,Rascal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rebecca of Sunnybrook Farm,Rebecca of Sunnybrook Farm,Rebecca of Sunnybrook Farm,Rebecca of Sunnybrook Farm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Margery Sharp,The Rescuers,The Rescuers Down Under,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Ring of Endless Light,A Ring of Endless Light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Robinson Crusoe,Robinson Crusoe,Adventures of Robinson Crusoe,Robinson Crusoe on Mars,"Lt. Robin Crusoe, U.S.N.",Crusoe,Shipwrecked,Robinson Crusoe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ronia the Robber's Daughter,"Ronia, the Robber's Daughter",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Satan from the Seventh Grade,Satan from the Seventh Grade,Satan from the Seventh Grade,Satan from the Seventh Grade,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Searching for David's Heart,Searching for David's Heart,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Secret Garden,The Secret Garden,The Secret Garden,The Secret Garden,The Secret Garden,The Secret Garden,The Secret Garden,The Secret Garden,Return to the Secret Garden,Back to the Secret Garden,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Series of Unfortunate Events,Lemony Snicket's A Series of Unfortunate Events,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sheep-Pig,Babe,Babe: Pig in the City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shrek!,Shrek,Shrek,Shrek 2,Shrek the Third,Shrek Forever After,Puss in Boots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio Rebel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants,The Sisterhood of the Traveling Pants 2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skellig,Skellig,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sneetches and Other Stories,Dr. Seuss on the Loose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Snowman,The Snowman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sounder,Sounder,"Part 2, Sounder",Sounder,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Spiderwick Chronicles,The Spiderwick Chronicles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stardust,Stardust,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lazar Lagin,Old Khottabych,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Storm Boy,Storm Boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stormbreaker,Stormbreaker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Story of Ferdinand,Ferdinand the Bull,The Story of Ferdinand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Story of Holly and Ivy,The Wish That Changed Christmas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuart Little,Stuart Little,Stuart Little 2,Stuart Little 3: Call of the Wild,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Stupids,The Stupids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Sword in the Stone,The Sword in the Stone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Tale of Despereaux,The Tale of Despereaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Tale of Two Cities,A Tale of Two Cities,A Tale of Two Cities,A Tale of Two Cities,The Only Way,A Tale of Two Cities,A Tale of Two Cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thidwick the Big-Hearted Moose,Welcome,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paul Gallico,The Three Lives of Thomasina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Friend Flicka,"Thunderhead, Son of Flicka",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tiger Eyes,Tiger Eyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Tiger Walks,A Tiger Walks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toby Tyler," or, Ten Weeks with a Circus",Toby Tyler,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toomai of the Elephants,Elephant Boy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Around the World in 80 Days,Round the World in 80 Days,Around the World in Eighty Days,Around the World in 80 Days,The Three Stooges Go Around the World in a Daze,Around the World in Eighty Days,Around the World in Eighty Days,Around the World with Willy Fog,Ginga Shippu Sasuraiger,Around the World in Eighty Days,Around the World in 80 Days,Around the World in 80 Days,Around the World in 80 Days,Tweety's High-Flying Adventure,Around the World in 80 Days,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Treasure Island,Treasure Island,Treasure Island,Treasure Island,Treasure Island,Treasure Island,Long John Silver,Return to Treasure Island,Treasure Island,Animal Treasure Island,Treasure Island,Treasure Island,Treasure Island,Return to Treasure Island,L'isola del tesoro,Treasure Island,Return to Treasure Island,Treasure Island,Muppet Treasure Island,Treasure Island,Treasure Planet,Pirates of Treasure Island,Die Schatzinsel,,,,,,,,,,,,,,,,,,,,
The Three Musketeers,The Three Musketeers,The Three Musketeers: Part 1/The Three Musketeers: Part 2,The Three Musketeers,The Three Musketeers,Les Trois Mousquetaires,The Three Musketeers,The Three Musketeers,Les Trois Mousquetaires,The Three Musketeers,The Three Musketeers,The Three Musketeers,At Sword's Point,The Three Musketeers,Les trois mousquetaires: La vengeance de Milady,The Three Musketeers,The Three Musketeers in Boots,The Three Musketeers,The Four Musketeers,The Return of the Musketeers,The Three Musketeers,Les Quatre Charlots Mousquetaires,A Nous Quatre Cardinal,d'Artagnan and Three Musketeers,"The Secret of Queen Anna, or Musketeers Thirty Years After","The Return of the Musketeers, or The Treasures of Cardinal Mazarin",The Three Musketeers,Ring of the Musketeers,The Three Musketeers,La Fille de d'Artagnan,The Musketeer,d'Artagnan et les trois mousquetaires,"Mickey, Donald, Goofy: The Three Musketeers",La Femme Musketeer,Barbie and the Three Musketeers,The Three Musketeers,,,,,,,
The True Meaning of Smekday,Home,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Trumpet of the Swan,The Trumpet of the Swan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuck Everlasting,Tuck Everlasting,Tuck Everlasting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twilight,The Twilight Saga,Twilight,The Twilight Saga: New Moon,The Twilight Saga: Eclipse,"The Twilight Saga: Breaking Dawn, Part 1","The Twilight Saga: Breaking Dawn, Part 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Twitches,Twitches,Twitches,Twitches Too,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Two Who Stole the Moon,The Two Who Stole the Moon,The Two Who Stole the Moon,Jacek i Placek,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gladys Bronwyn Stern,The Ugly Dachshund,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Uncle Remus,Song of the South,Coonskin,The Adventures of Brer Rabbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Undercover Cat,That Darn Cat!,That Darn Cat,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Velveteen Rabbit,The Velveteen Rabbit,Little Ears: The Velveteen Rabbit,The Velveteen Rabbit,The Velveteen Rabbit,The Velveteen Rabbit,The Velveteen Rabbit,The Velveteen Rabbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicke Viking,Vicky the Viking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Man in the Iron Mask,The Iron Mask,The Man in the Iron Mask,The Man in the Iron Mask,The Man in the Iron Mask,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"20,000 Leagues Under the Sea","20,000 lieues sous les mers","20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",Captain Nemo and the Underwater City,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",Captain Nemo,The Return of Captain Nemo,The Black Hole,"20,000 Leagues Under the Sea","20,000 Leagues Under the Sea",Hallmark,"20,000 Leagues Under the Sea",Village Roadshow Pictures,"Crayola Kids Adventures: 20,000 Leagues Under the Sea","20,000 Leagues Under the Sea","30,000 Leagues Under the Sea",Journey 2: The Mysterious Island,,,,,,,,,,,,,,,,,,,,,,,,
Journey to the Center of the Earth,Journey to the Center of the Earth,Viaje al centro de la Tierra,Journey to the Center of the Earth,Journey to the Center of the Earth,Journey to the Center of the Earth,Journey to the Center of the Earth,Journey 2: The Mysterious Island,Journey to the Center of the Earth,The Asylum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
War Horse,War Horse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A Watcher in the Woods,The Watcher in the Woods,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"The Water-Babies, A Fairy Tale for a Land Baby",The Water Babies,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dick King-Smith,The Water Horse: Legend of the Deep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Watership Down,Watership Down,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
We're Back! A Dinosaur's Story,We're Back! A Dinosaur's Story,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Westing Game,Get a Clue,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When Knighthood Was in Flower,When Knighthood Was in Flower,The Sword and the Rose,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
When the Wind Blows,When the Wind Blows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where the Red Fern Grows,Where the Red Fern Grows,Where the Red Fern Grows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where the Wild Things Are,Where the Wild Things Are,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Where's Wally?,Where's Waldo?,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
White Fang,White Fang,White Fang,White Fang,White Fang,The Return of White Fang,White Fang to the Rescue,White Fang and the Gold Diggers,White Fang and the Hunter,White Fang,White Fang 2: Myth of the White Wolf,White Fang,White Fang,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Who Censored Roger Rabbit?,Who Framed Roger Rabbit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wind in the Willows,The Adventures of Ichabod and Mr. Toad,The Wind in the Willows,The Wind in the Willows: A Tale of Two Toads,The Wind in the Willows,The Wind in the Willows,The Willows in Winter,The Wind in the Willows,The Wind in the Willows,The Wind in the Willows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winnie-the-Pooh,Disney's Winnie the Pooh,The Many Adventures of Winnie the Pooh,Winnie the Pooh and Friends,Pooh's Grand Adventure: The Search for Christopher Robin,Winnie the Pooh: Seasons of Giving,The Tigger Movie,Winnie the Pooh: A Very Merry Pooh Year,Piglet's Big Movie,Winnie the Pooh: Springtime with Roo,Pooh's Heffalump Movie,Pooh's Heffalump Halloween Movie,My Friends Tigger and Pooh: Super Sleuth Christmas Movie,Tigger and Pooh and a Musical Too,Winnie the Pooh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Berkeley Breathed,A Wish for Wings That Work,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Witches,The Witches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Wonderful Wizard of Oz,The Fairylogue and Radio-Plays,The Wonderful Wizard of Oz,Dorothy and the Scarecrow in Oz,The Land of Oz,John Dough and the Cherub,The Patchwork Girl of Oz,The Magic Cloak of Oz,"His Majesty, the Scarecrow of Oz",Wizard of Oz,The Wizard of Oz,The Wizard of Oz,Return to Oz,The Wizard of Mars,The Wonderful Land of Oz,Zardoz,Journey Back to Oz,The Wonderful Wizard of Oz,Oz,The Wiz,The Wizard of Oz,Return to Oz,Dorothy Meets Ozma of Oz,The Wizard of A.I.D.S.,The Wonderful Galaxy of Oz,Lion of Oz,Lost in Oz,The Muppets' Wizard of Oz,Tin Man,Tom and Jerry and the Wizard of Oz,The Wonderful Wizard of Oz,The Witches of Oz,Dorothy of Oz,Oz the Great and Powerful,,,,,,,,,
A Wrinkle in Time,A Wrinkle in Time,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eric S. Hatch,The Horse in the Gray Flannel Suit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Yearling,The Yearling,The Yearling,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zathura,Zathura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zenon: Girl of the 21st Century,Zenon: Girl of the 21st Century,Zenon: The Zequel,Zenon: Z3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Diary of a Young Girl,The Diary of Anne Frank,The Diary of Anne Frank,The Dairy of Anne Frank,The Diary of Anne Frank,The Attic: The Hiding of Anne Frank,Laatste Zeven Maanden van Anne Frank,Anne Frank Remembered,Anne no nikki,Anne Frank: The Whole Story,The Short Life of Anne Frank,The Diary of Anne Frank,Mi Ricordo Anna Frank,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
My Dog Skip,My Dog Skip,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

